subject_ID age gender site ggnetage resnetage bbnetage obbnetage svmage lmmmeanage lmmquantage lmmnobiasage meancombinedage mediancombinedage agedif_ggnet agedif_resnet agedif_bbnet agedif_obbnet agedif_svm agedif_lmmmean agedif_lmmquant agedif_lmmnobias agedif_meancombined agedif_mediancombined trainData ggnetage_meansite agedif_ggnet_meansite ggnetage_mediansite agedif_ggnet_mediansite ggnetage_pct ggnetage_quantile agedif_ggnet_quantile resnetage_meansite agedif_resnet_meansite resnetage_mediansite agedif_resnet_mediansite resnetage_pct resnetage_quantile agedif_resnet_quantile bbnetage_meansite agedif_bbnet_meansite bbnetage_mediansite agedif_bbnet_mediansite bbnetage_pct bbnetage_quantile agedif_bbnet_quantile svmage_meansite agedif_svm_meansite svmage_mediansite agedif_svm_mediansite svmage_pct svmage_quantile agedif_svm_quantile lmmmeanage_meansite agedif_lmmmean_meansite lmmmeanage_mediansite agedif_lmmmean_mediansite lmmmeanage_pct lmmmeanage_quantile agedif_lmmmean_quantile lmmquantage_meansite agedif_lmmquant_meansite lmmquantage_mediansite agedif_lmmquant_mediansite lmmquantage_pct lmmquantage_quantile agedif_lmmquant_quantile lmmnobiasage_meansite agedif_lmmnobias_meansite lmmnobiasage_mediansite agedif_lmmnobias_mediansite lmmnobiasage_pct lmmnobiasage_quantile agedif_lmmnobias_quantile obbnetage_meansite agedif_obbnet_meansite obbnetage_mediansite agedif_obbnet_mediansite obbnetage_pct obbnetage_quantile agedif_obbnet_quantile
sub0 60 f 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
sub1 26 f 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
sub10 25 f 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
sub100 81 m 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
sub1000 59.51 m 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
sub1002 19 f 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
sub1003 21 m 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
sub1004 28 m 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
sub1006 21 f 8 20.7632465362549 19.9592571258545 22.3253002166748 22.3253002166748 23.0805185815144 21.6176562529109 21 20.4947032777177 21.5816112756978 21.6176562529109 0.236753463745117 1.04074287414551 -1.3253002166748 -1.3253002166748 -2.0805185815144 -0.617656252910901 0 0.505296722282299 -0.581611275697753 -0.617656252910901 0 20.4399874773945 0.560012522605515 19.1975329998779 1.80246700012212 0.0622641509433962 20 1 18.1473462389532 2.85265376104675 16.6005259442487 4.39947405575129 0.0169811320754717 18 3 21.0618472632655 -0.0618472632655482 19.9019494713434 1.09805052865657 0.105660377358491 20.6204905660377 0.379509433962269 21.4889986809804 -0.488998680980437 20.3858085361755 0.614191463824525 0.145283018867925 21 0 21.1623535656289 -0.162353565628948 20.0157987609734 0.984201239026586 0.179584120982987 22 -1 20.7271258944421 0.272874105557854 19.5227912576949 1.47720874230506 0.152830188679245 21 0 20.9581321981981 0.0418678018018852 19.7844654309978 1.21553456900224 0.187145557655955 22 -1 21.2474015128715 -0.247401512871495 20.1121374795449 0.887862520455059 0.105660377358491 20.6204905660377 0.379509433962269
sub1009 62 m 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
