subject_ID	age	score_scaleQuant
sub0	60	54
sub1010	37	31
sub1012	49.02	51
sub102	24	24
sub1023	45.39	58.0025
sub1030	49.4	42
sub1031	59.15	62.713
sub1033	31	27
sub1039	21	22
sub1050	82	54.09025
sub1052	20	23
sub1055	55.09	60.02
sub1056	25.93	32.7595
sub106	63.1	71
sub1063	27	23.967
sub1085	21	21
sub1090	58	58
sub1094	22	25
sub1102	27	20
sub1104	21	19
sub1109	31	29
sub1118	45	44
sub1119	23	23
sub112	69.29	70.278
sub1124	31.15	28
sub1134	23	33
sub1149	38	39
sub1177	26	30
sub1182	35	29.169
sub1183	24	29
sub1184	22	25
sub119	25	24
sub1192	26	25
sub1197	80.8	85.961
sub1199	25.58	28
sub1207	24	24
sub1208	54	55
sub1214	21	20.368
sub1227	46	54.556
sub1232	22	19
sub1234	36	31
sub1237	64.19	69.28125
sub1239	33	27
sub124	37.77	35
sub1250	23	22
sub1259	48	34.447
sub126	22	21
sub1266	22	25.6405
sub1277	21	21
sub1279	29.82	33.697
sub1294	22	21
sub1320	54	61
sub1329	22	24
sub1337	53	57
sub134	22	21
sub1353	23	21.8324925
sub1370	23	22
sub1380	57	47
sub1384	56.96	56
sub1387	23	25
sub1402	44	45
sub1410	22	27
sub1421	25	23.093675
sub1445	37	29.916
sub1446	21	24
sub1454	47	44.9905
sub1457	24	29.718
sub146	28	28
sub147	19	22
sub1472	43	33
sub1475	23	26
sub148	26	23
sub1494	37	40
sub1506	29	25
sub1510	21	22
sub1512	32	32
sub1519	86.32	83.5375
sub1522	29	27
sub1523	65.88	65
sub1524	48	52
sub1531	39	24
sub1539	24	23
sub154	21	22
sub1547	25	27.766
sub1560	20	22
sub1577	22	23
sub1581	43	36.8675
sub1582	44	41.747
sub1586	28	23
sub1593	59	54
sub1598	25	28
sub1602	22	25
sub1610	66.37	56
sub1615	40	33.076
sub162	42	39
sub1621	38	39.8349999999999
sub1632	23	28
sub1634	27	23
sub164	24	21
sub165	22	20
sub1655	28.48	23
sub1659	23	22
sub1660	23	22
sub1671	27	28
sub169	40	42
sub1690	23	27
sub1709	23	28
sub1713	37	36.45375
sub1714	46	43
sub1726	85	81.982
sub1732	22.1054	22.874
sub1734	81	66
sub1740	23	19
sub1743	29	30.7
sub1746	17	28
sub1750	30	41
sub1759	42	38
sub1770	34	36
sub1773	19	18
sub1776	50	44
sub1778	63.39	71
sub1787	29	23
sub1806	21	20
sub1812	22	28
sub1814	26	21
sub1818	26	29
sub1824	60.6	59
sub1829	23	19
sub1832	73	73.5219999999999
sub1838	25	20
sub1844	45	30.1295
sub1845	40	41.4425
sub1850	19	27
sub1853	58.72	63.187
sub1858	21	24
sub1867	30	34.15375
sub1872	18	20
sub1875	22	23
