subject_ID	age	score_scaleQuant
sub1006	21	20
sub1014	24.34	41
sub1016	24.6352	27
sub1025	66.28	62.0199245283019
sub1038	25	23
sub1040	25	27
sub1045	29	29.4734339622642
sub1053	24	25
sub1062	45	46.9102641509433
sub1069	21	21
sub1070	19	18.7509433962264
sub1072	22	24
sub1073	37	25
sub1075	25	24
sub1077	30	25.4170754716981
sub1078	35	27
sub1087	22	22.4206037735849
sub1089	23	20
sub109	19	19
sub1095	26	26
sub1108	21	21
sub1111	25	24
sub1117	22	24
sub1130	25	25
sub1135	38	38
sub1137	27	24
sub114	26	24.3815845283019
sub1145	23	23
sub1154	52.5	58.28
sub1155	25	29
sub1158	52	58
sub1162	21.02	22
sub1167	89	76.5685660377358
sub1168	21	28
sub1171	49	45.6126226415094
sub1173	51	59.6834716981132
sub1174	34	35
sub1176	19	19
sub118	25	26
sub1180	36	33
sub1181	27	31
sub1185	45.26	44
sub1187	27	34.2551698113208
sub120	22	22
sub1210	35	40.9340377358491
sub1213	20	27
sub1218	29	33.0452830188679
sub1224	42.99	51
sub1231	58.38	53
sub1246	48	48
sub1249	22	22
sub1251	23.72	23
sub1257	23	21.9163128301887
sub1269	30	20
sub1270	19	22
sub1272	22	28
sub1274	36	30
sub1282	70.11	83.4662264150943
sub1284	20	20
sub1285	24	23
sub1287	50	51
sub1296	23	20
sub13	18	26
sub1302	22	19
sub1304	48.68	40
sub1308	63.66	66.7757358490566
sub131	33	28
sub1317	71	74.0024905660377
sub1318	30	21
sub1319	33.13	34.5660377358491
sub1321	25	26
sub1325	71	67.8000943396226
sub1333	26	25
sub1336	42	44
sub1343	63.68	53
sub1347	21	22
sub1366	37	37.6926037735849
sub1372	22	23.034641509434
sub1377	71	78.6410188679245
sub1388	26	38
sub139	61.07	64.1728490566038
sub1392	21	20
sub1397	36.16	32
sub14	52	54.586679245283
sub1413	29	29
sub1414	24	22
sub1418	30	35.419358490566
sub1423	22	23
sub1430	21	25
sub144	29	27
sub1441	21	25
sub1444	47.72	59.8501886792453
sub1455	37.95	48
sub1460	59	57
sub1462	25	28.9565849056604
sub1464	31	26
sub1473	60.87	70.0502264150943
sub1487	26	24
sub1489	25	25
sub1490	64.65	70.7639622641509
sub1495	52	59
sub1496	21	22
sub1499	23	20
sub1503	67.77	65
sub1507	19	18
sub1529	25	21
sub1551	33	25.7003773584906
sub1559	90	80
sub1567	47	53
sub1570	31	33
sub1571	55.58	51.8990188679246
sub1573	27	25
sub1574	31.9	36
sub1579	25	23
sub158	36.48	33
sub1587	30	28.5974716981132
sub1592	25	19
sub16	40	31
sub1601	22	23
sub1607	18	19
sub1608	52.3	43.5929245283018
sub1612	22	26.1115660377358
sub1614	21	23
sub1619	21	22
sub1620	45	51
sub1625	82	63.42
sub1626	54	53
sub1628	19	28
sub1635	26	23
sub1642	59	59.1671698113207
sub1643	27	28
sub1647	37.73	30.2003773584906
sub1652	28	23
sub1656	19	25
sub1658	60.07	58.8556603773585
sub166	44	44.5142075471698
sub1662	23	21
sub1664	52	43
sub1673	26.75	34
sub1681	51	46
sub1686	25	27
sub1689	59	55
sub1692	58	59
sub1703	32	30
sub1717	28	22
sub1720	19	21
sub173	19	21
sub1737	42.15	41
sub1744	40	43
sub1748	34	36.4962641509434
sub1749	46	46
sub1774	24.4983	24.8579245283019
sub1777	29	26
sub1780	32	32
sub1788	35	30
sub1789	68.48	69.036320754717
sub1799	37	45
sub1802	36	47
sub181	70.14	73
sub1825	18	18
sub1827	32	21
sub1846	32	40
sub1847	57	50
sub1851	23	25
sub1865	56	52
sub1871	23	21
sub1876	22	26
sub1877	73	65.9011698113208
sub1878	40	48
sub188	55.6	59
sub1882	28	33.9603018867925
sub1890	27.33	30
sub1893	43	43
sub1897	19	21
sub1898	41	44.9250188679245
sub1907	21	28
sub1910	20	22
sub1919	23	22
sub1922	45	43
sub1937	51	47
sub1940	57	57.4420566037736
sub1953	22	23
sub1959	19	19
sub196	52.67	58
sub1972	47	41.1639245283019
sub1985	29	38.9928679245283
sub1993	21	26
sub1996	24	20
sub1998	33	33
sub2007	50	56
sub2008	21	23
sub2011	68	71
sub2015	41.52	43
sub2028	55	49.1813396226415
sub2033	60.6	60.8472452830189
sub2035	20	24
sub2045	45	39
sub2062	23	19
sub2072	23.85	23
sub2086	24	20
sub2104	33.59	31
sub2106	49.39	64
sub2113	56.44	58
sub2114	23	20
sub2124	33	39.3354716981132
sub2142	64	61
sub2143	65	65.3108490566038
sub2148	42	45
sub2152	28	25
sub2159	28	31
sub2164	46	47.2261886792453
sub2172	44	46
sub2181	20	23
sub2190	23	27
sub220	59.91	56.3784905660378
sub2206	48	52
sub2213	24.38	20
sub2220	72	80.8566037735849
sub2227	36.55	41
sub2228	39.02	31.9934339622642
sub2234	44	45
sub2244	29.36	23
sub2251	27.02	20
sub2256	30	31
sub2259	73.54	72.174679245283
sub2260	78	75.8528301886792
sub2265	57.86	67.2658490566038
sub2274	31	34
sub2282	34	26.9560188679245
sub2286	26	22
sub2296	20	20
sub2304	30	22
sub2313	21.2	21
sub2321	32	42
sub2322	45	48
sub2324	31	27
sub2329	19	20
sub2339	31	30
sub2347	56	72.8466037735849
sub2353	41	44
sub2366	51	62.4255849056604
sub2370	26	26
sub2373	19	23.4683396226415
sub2375	29	28
sub238	26.92	42
sub239	27	24.1856981132075
sub2394	27	32
sub240	31	35
sub2404	18	19
sub241	46	42
sub2415	56	54
sub242	54	54.19
sub2432	23	21
sub2433	41	52.53
sub2434	69.29	58.6809433962264
sub2450	22	25
sub2452	58	62
sub2460	21	19
sub2463	54	46
sub2475	20	21
sub2487	47	56
sub2490	32	26
sub2491	20	19
sub2499	23.96	22
sub2511	69	69.2849811320755
sub2513	22	21
sub2515	36.22	36
sub2517	22	19
sub252	18	19.3423396226415
sub2520	78	61
sub2523	35	29
sub2530	27	24
sub2537	24	22
sub2547	45	46
sub2549	22	22
sub2555	28	22
sub2564	26	22.6460754716981
sub2573	31	27
sub2575	29	27.3999245283019
sub258	23	30
sub2585	19	18
sub2586	21	22
sub2604	22	24
sub2605	23	29.0481509433962
sub2629	23	19
sub2639	32.63	34
sub2641	45	55.6311698113208
sub2644	24	30.6712830188679
sub2660	19	18
sub2668	29	28
sub2669	19	29
sub2675	24	31
sub2682	21	20
sub2684	23	25
sub2695	22	22
sub270	25	20
sub2704	26	22
sub2711	23	30
sub2712	29	25
sub2715	25	29
sub2717	55	60.4170754716981
sub2723	31	28.4541509433962
sub2737	40	42.4265283018868
sub2739	40	49
sub274	25	22
sub2744	41.72	37.0005660377359
sub2758	20	18
sub2772	40	49
sub2781	81	77.1660377358489
sub2785	21	20.6204905660377
sub2791	29	25
sub2813	26	39
sub2816	27	28.1491320754717
sub2817	50	46
sub2820	59.47	60
sub2830	30	32
sub2831	63.25	53
sub2833	49	49
sub2837	53	55
sub2838	23	26
sub2839	19	27
sub2863	50	45
sub2864	45	35.8462452830189
sub2866	31.85	28
sub2867	42	38
sub287	23	26
sub2885	27	26
sub2887	67.24	63.8787169811321
sub2892	33	30
sub2893	67.06	55
sub2896	40	42
sub2906	55.12	60.0297358490566
sub2908	61.15	62.7372830188679
sub2912	24	22
sub2914	24	26
sub2916	65.67	68
sub2920	28.24	34
sub2921	49.4	51
sub2935	52	57
sub2956	21	22
sub2961	24.57	29
sub2973	22	20
sub2975	59.38	65
sub2977	31	33.7914716981132
sub2979	90	81.9449811320755
sub2988	21	26
sub2989	20	27
sub299	38	34
sub2995	46.3	43
sub30	30	23
sub3001	43	40
sub3003	33	41
sub301	33	36
sub3010	34	44
sub3011	71	64.6430943396226
sub3020	30	23
sub3023	72.15	73.5458113207547
sub3028	23	22
sub3032	60.97	68.2084528301887
sub3039	31.58	35
sub304	22	24.7509898113208
sub3040	20	19
sub3042	27	24
sub3047	35	29
sub3063	33.28	30
sub3064	19	19
sub307	22	19
sub3073	22	23
sub3075	66.91	64
sub3079	32	23
sub3082	55	33
sub3088	23	24
sub3089	28	32.982679245283
sub3090	20	21
sub3096	48	43
sub3097	25	20
sub3100	29	35
sub3106	24	21
sub3110	24	28
sub3111	19	19
sub3113	43	55
sub3115	23	22
sub3123	42	25
sub3137	20	20
sub3143	40	37
sub3145	54.66	50
sub3146	23	21
sub3148	84	85.0307169811321
sub3157	27	21
sub3161	23	18
sub3168	25	24
sub3188	20	20
sub3191	44	49
sub3194	24.31	19
sub3200	20	21
sub3204	33	28
sub3205	65	66.232320754717
sub3206	60.95	55.2030188679245
sub3207	20	18
sub3216	42	26.6035471698113
sub322	26	25
sub323	22	26
sub3232	22	21
sub3235	64.77	54
sub3242	45	47
sub3248	49	50
sub3254	25	21.1853773584906
sub3259	20	22
sub3262	30	28
sub3265	52	53.41
sub3268	23	27
sub327	19	18
sub3286	20	20
sub3289	69.28	69.704320754717
sub329	24.18	24
sub3292	55.83	52
sub3293	20	20
sub3298	53.54	52
sub346	28	27
sub348	25	21
sub354	23	20
sub355	58	50
sub37	20	24
sub375	23	23
sub385	53.75	56
sub40	30	28
sub405	50	46.3402830188679
sub42	41.75	40
sub420	45	41.4250943396226
sub422	61	63.1891320754717
sub426	27	26
sub427	33	29
sub434	22	22
sub436	64	61.4937735849057
sub438	23.5921	24
sub444	19	21
sub448	28	25
sub450	50	58
sub459	31.59	31
sub465	24	24
sub474	54	54
sub477	23	25
sub482	62.8	68.6934716981132
sub489	51.75	50
sub495	47	46
sub507	75.82	71.7870188679245
sub509	26	22
sub510	37.42	37
sub513	47	37
sub514	26	39
sub515	27.82	23.6701794339623
sub517	25	26
sub518	58.05	57
sub536	38	23
sub538	46.71	43.0990188679245
sub557	47.07	33
sub574	42	50
sub577	18	22
sub580	27	23
sub591	24	23
sub60	22	19
sub606	81	90
sub61	24	22
sub613	29	31.4470943396226
sub615	28	33.4808679245283
sub626	36.42	37
sub629	26	30
sub63	32	21
sub639	29	24
sub640	28	22
sub655	51	48.1
sub659	23	17.9792452830189
sub662	40	30
sub664	63	55
sub665	19	18
sub667	70	75
sub668	22	30.0010566037736
sub672	26	29
sub677	24	24
sub679	25	23
sub688	41	47
sub697	45.77	51
sub703	27.08	27
sub719	27	39
sub721	22	21
sub722	55	50.1615094339624
sub723	56	44
sub727	47	35
sub739	59.78	63
sub743	22	31
sub748	56	61
sub752	66.86	67
sub753	31	47
sub764	34	30
sub767	22	23
sub77	65	74
sub770	75.63	86.2024905660377
sub772	31	36
sub779	30.31	23
sub780	26	28
sub783	25	30
sub790	21	21
sub8	18	24
sub80	31	31.1140566037736
sub800	22	23
sub81	52	54
sub816	24	24
sub819	28	20
sub833	20	25.0169811320755
sub836	31	29
sub837	25	23
sub850	74	70.4040943396226
sub878	23	22
sub885	35.07	40
sub895	49.6	55
sub904	42.22	41.8950754716981
sub919	30.3	32
sub933	38	29.78
sub935	24	21
sub951	29	28
sub959	22	21
sub968	23	23
sub970	24	21
sub971	61	47
sub979	25	24
sub981	25	23
sub994	24	24
sub995	21	24
sub996	24	18
sub997	48	38.7523396226415
